주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1451409,낙산성곽 버스전용 주차장(구),종로구 창신동 615-62,NS,노상 주차장,4,버스전용 주차장,,0,미연계중,1,N,무료,N,야간 미개방,0,0,0.0,0.0,0.0,0.0,2021-08-31 09:30:25,Y,유료,Y,유료,0.0,1111017400005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1451525,열린마당(구),종로구 세종로 111-0 옆,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,2100,900.0,1500.0,0.0,0.0,2019-06-10 10:02:27,N,무료,Y,유료,250000.0,1111011900002.0,500.0,5.0,1000.0,10.0,0.0,0.0,0.0,0.0,0.0,,
1451594,종각(구),종로구 관철동 45-9,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,1000,2200,900.0,1800.0,0.0,0.0,2019-06-10 10:02:49,N,무료,Y,유료,250000.0,1111013500001.0,500.0,5.0,1000.0,10.0,0.0,0.0,0.0,0.0,0.0,,
1451598,원서공원 앞(구),종로구 와룡동 206-0,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900.0,1900.0,900.0,1900.0,2021-04-20 14:00:00,N,무료,N,무료,250000.0,1111013000002.0,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,,
1451912,광화문빌딩(구),종로구 당주동 40-9,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,1000,2200,1000.0,1800.0,1000.0,1800.0,2023-03-09 10:14:58,N,무료,N,무료,250000.0,1111011700002.0,500.0,5.0,1000.0,10.0,0.0,0.0,0.0,0.0,0.0,,
1451913,삼청공원앞(구),종로구 삼청동 25-11,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,2100,900.0,1700.0,0.0,0.0,2019-06-10 10:04:53,N,무료,Y,유료,180000.0,1111014000002.0,250.0,5.0,500.0,10.0,0.0,0.0,0.0,0.0,0.0,,
1451938,청계1(북) 공영주차장(시),종로구 관철동 13-14,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 11:26:38,N,무료,Y,유료,0.0,1111013500003.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.56830045833333,126.98861318083334
1452019,청계5(북1) 공영주차장(시),종로구 종로5가 458-2,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 13:49:19,N,무료,Y,유료,0.0,1111016300002.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.5698408504,127.0060116156
1452024,청계5(동호로_북) 공영주차장(시),종로구 종로5가 458-2,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,100,900.0,1500.0,0.0,0.0,2026-04-07 13:47:33,N,무료,Y,유료,0.0,1111016300001.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.57016071,127.00213305
1452025,청계3(창경궁로_북1) 공영주차장(시),종로구 예지동 140-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 13:45:12,N,무료,Y,유료,0.0,1111015800001.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.57037743833333,126.99746817166665
1452219,청계2(돈화문로) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 11:27:42,N,무료,Y,유료,0.0,1111015500004.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.569232293,126.99236500399999
1452337,관철동 공영주차장(시),종로구 관철동 13-14,NS,노상 주차장,1,시간제 주차장,02-738-0909,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,2200,900.0,1400.0,0.0,0.0,2026-04-15 16:39:50,N,무료,Y,유료,0.0,1111013500002.0,430.0,5.0,430.0,5.0,0.0,0.0,0.0,0.0,0.0,37.56844012714286,126.98628076428572
1452441,청계6(북) 공영주차장(시),종로구 종로6가 289-49,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,100,900.0,1500.0,0.0,0.0,2026-04-07 13:51:57,N,무료,Y,유료,0.0,1111016400024.0,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,37.569982360714285,127.01275056428571
1452721,청계2(북1) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900.0,1500.0,0.0,0.0,2026-04-07 11:27:54,N,무료,Y,유료,0.0,1111015500002.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,37.56862408333333,126.993669
1584680,평창동 460-3(구),종로구 평창동 460-3,NS,노상 주차장,1,시간제 주차장,02-2236-0052,0,미연계중,1,Y,유료,N,야간 미개방,1000,2200,1000.0,2200.0,1000.0,2200.0,2019-06-10 09:53:41,N,무료,N,무료,0.0,1111018300020.0,150.0,5.0,150.0,5.0,0.0,0.0,0.0,0.0,0.0,,
1584686,평창동(구),종로구 평창동 114-3,NS,노상 주차장,1,시간제 주차장,02-2236-0052,0,미연계중,1,Y,유료,N,야간 미개방,1000,2000,1000.0,2000.0,1000.0,2000.0,2019-06-10 09:57:16,N,무료,N,무료,0.0,1111018300021.0,150.0,5.0,150.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2877166,명륜동와룡주차장(구),종로구 명륜3가 1-21,NW,노외 주차장,1,시간제 주차장,02-6048-1234,0,미연계중,78,Y,유료,N,야간 미개방,0,0,0.0,0.0,0.0,0.0,2023-09-11 11:16:21,Y,유료,Y,유료,,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,,,
2977342,서인사마당(구),종로구 견지동 85-18,NW,노외 주차장,1,시간제 주차장,02-6048-1234,0,미연계중,40,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2023-07-04 15:07:29,N,무료,N,무료,,,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,,,
3016934,교남 공영주차장(구),종로구 행촌동 1-53,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,30,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 10:33:06,N,무료,N,무료,,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,,,
3069146,비봉(구),종로구 구기동 139-9,NW,노외 주차장,3,시간제 + 거주자 주차장,02-6048-1234,0,미연계중,40,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2023-09-21 13:26:36,N,무료,N,무료,140000.0,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3076679,명광교회옆(구),종로구 명륜3가 12-0,NW,노외 주차장,1,시간제 주차장,02-6048-1234,0,미연계중,8,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2023-09-21 13:26:00,N,무료,N,무료,,,250.0,5.0,250.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3078460,누상 공영주차장(구),종로구 누상동 166-50,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2236-0052,0,미연계중,36,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 13:25:01,N,무료,N,무료,0.0,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3110155,신교 공영주차장(구),종로구 신교동 66-0,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2236-0052,0,미연계중,158,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 17:27:47,N,무료,N,무료,0.0,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3172084,명륜1가공영주차장(구),종로구 명륜1가 5-14,NW,노외 주차장,3,시간제 + 거주자 주차장,02-6048-1234,0,미연계중,50,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2024-01-07 14:32:56,N,무료,N,무료,,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3215836,무계원 공영주차장(구),종로구 부암동 328-2,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,22,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 11:00:07,N,무료,N,무료,,,300.0,5.0,,,0.0,0.0,0.0,0.0,,,
3215845,방통대 공영주차장(구),종로구 동숭동 169-1,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,100,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 17:25:01,N,무료,N,무료,0.0,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3215846,창삼 공영주차장(구),종로구 창신동 23-346,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,21,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 17:17:31,N,무료,N,무료,,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,,,
3215848,낙산 공영주차장(구),종로구 창신동 23-343,NW,노외 주차장,3,시간제 + 거주자 주차장,02-6048-1234,0,미연계중,50,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 13:26:28,N,무료,N,무료,,,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,,,
3215850,창일 공영주차장(구),종로구 창신동 82-0,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,85,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 17:20:13,N,무료,N,무료,0.0,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3215852,동묘 공영주차장(구),종로구 숭인동 227-8,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,23,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 13:22:06,N,무료,N,무료,,,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,,,
3245950,이화 공영주차장(구),종로구 이화동 13-2,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,100,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 17:23:07,N,무료,N,무료,,,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,,,
3246543,숭인 공영주차장(구),종로구 숭인동 57-18,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,119,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-07-18 10:56:24,N,무료,N,무료,0.0,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,0.0,,
3247314,삼청제2공영(구),종로구 삼청동 1-12,NW,노외 주차장,3,시간제 + 거주자 주차장,,0,미연계중,27,Y,유료,N,야간 미개방,0,2400,0.0,2400.0,0.0,2400.0,2025-06-27 19:38:12,N,무료,N,무료,,,300.0,5.0,300.0,5.0,0.0,0.0,0.0,0.0,,,
