faq_id,category,question,answer,source_org
FAQ_033,단속완화,야간이나 새벽 시간에도 주정차 단속을 하나요?,"야간 시간대는 이동식/고정식 CCTV 단속이 완화되나, 소방차 진입로, 인도 등 위험 구간 및 주민신고 접수 건은 24시간 단속 대상입니다.",종로구청 교통지도과 - 야간 단속지침
FAQ_034,단속완화,택배나 화물차의 물품 적재 중 주정차도 단속되나요?,"화물 및 택배 차량의 하역 작업을 위해 15분 이내 정차 시 한시적 유예를 적용합니다. 단, 절대 금지구역은 제외됩니다.",서울시 교통운영과 - 화물차 하역작업 유예기준
FAQ_035,단속완화,명절 연휴 기간의 주정차 단속 완화 기준은 무엇인가요?,명절 연휴 기간에는 전통시장 및 소상공인 상가 주변 주정차가 한시적으로 허용됩니다.,종로구청 - 명절 연휴 특별 수송대책 공고문
FAQ_036,단속완화,전통시장 주변 주차 허용 구간과 시간은 어떻게 확인하나요?,"전통시장 주변 주정차 허용 구간은 현장 안내 현수막 및 노면 표시로 지정되어 있으며, 기본 2시간 이내 허용됩니다.",종로구청 - 전통시장 주변 주정차 허용구역 고시
FAQ_037,단속완화,점심시간 유예 구역에 주차했는데 과태료가 부과된 이유는 무엇인가요?,"6대 절대 금지구역에 주차하셨거나, 시민이 직접 촬영하여 접수한 안전신문고 신고건은 점심시간 유예와 상관없이 과태료가 부과됩니다.",종로구청 교통행정과 - 단속 예외사항 안내
FAQ_038,단속완화,행사나 공사 관련 차량도 주정차 단속이 완화되나요?,"도로점용허가 및 사전 협의가 완료되지 않은 경우 단속될 수 있으므로, 반드시 구청 담당 부서에 사전 확인 및 승인을 받아야 합니다.",종로구청 - 공사차량 주정차 협의 가이드라인
FAQ_039,단속완화,학원가 주변 어린이 승하차를 위한 짧은 주정차도 단속되나요?,"어린이 승하차 목적의 5분 이내 정차는 계도 대상이 될 수 있으나, 스쿨존 내 장시간 체류 시 일반 과태료의 3배가 부과됩니다.",서울시설공단 - 스쿨존 주정차 단속운영기준
FAQ_040,단속완화,주정차 단속 완화 구역은 어디서 조회가 가능한가요?,종로구청 누리집 고시공고 게시판 및 주정차 단속 알림 앱 내 메뉴에서 실시간 현황을 확인하실 수 있습니다.,종로구청 누리집 - 주차정보안내
FAQ_041,단속기준,불법주정차 단속 유예시간은 몇 분인가요?,"일반 주정차 금지구역은 5분 이상 주정차 시 단속됩니다. 단, 6대 절대 금지구역은 유예시간 없이 즉시 단속 대상이 될 수 있습니다.",도로교통법 시행령 별표6
FAQ_042,단속기준,도로 노면 표시(선 색상 및 모양)에 따른 주정차 기준은 어떻게 되나요?,① 황색 이중실선: 절대 금지 / ② 황색 실선: 시간별 허용 / ③ 황색 점선: 주차 금지(5분 이내 정차) / ④ 흰색 실선: 주정차 가능입니다.,도로교통법 시행규칙 별표6
FAQ_043,단속기준,운전자가 차량 내에 탑승해 있어도 단속 대상이 되나요?,"네, 운전자 탑승 여부와 관계없이 주정차 금지 구역에서 규정 유예시간을 초과하여 정차·주차되어 있다면 단속 대상입니다.",도로교통법 제2조(주차·정차의 정의)
FAQ_044,단속기준,비상점멸등(비상등)을 켜두면 단속을 피할 수 있나요?,"아니요, 비상등 점등 여부와 관계없이 지정된 단속 기준 시간 및 노면 표시에 따라 동일하게 단속 처리됩니다.",종로구청 교통지도과 - 자주 묻는 질문
FAQ_045,단속기준,CCTV 단속 시 1차 포착 후 몇 분 뒤에 2차 촬영을 진행하나요?,고정식/이동식 CCTV 단속은 1차 포착 후 5분(구역에 따라 5~10분) 간격으로 2차 촬영을 진행하여 최종 확정합니다.,서울시설공단 무인 단속 CCTV 운영 세칙
FAQ_046,단속기준,주차와 정차의 법적 기준 차이는 무엇인가요?,"정차는 차가 5분을 초과하지 아니하고 정지하는 상태를 말하며, 주차는 5분을 초과하거나 운전자가 차를 떠난 상태를 의미합니다.",도로교통법 제2조 제24호 및 제25호
FAQ_047,단속기준,짐을 내리기 위해 잠시 세운 경우도 단속되나요?,단순 물품 상하차 목적이라도 일반 주정차 금지구역에서 5분을 초과하면 단속 대상이 됩니다.,종로구청 교통행정과 - 불법주정차 단속 세부기준
FAQ_048,단속기준,단속 스티커가 차량에 붙지 않았는데 과태료 통지서가 올 수 있나요?,"네, 무인 CCTV 단속 및 안전신문고 주민신고건은 현장 스티커 발부 없이 차적 조회를 통해 과태료 통지서가 발송됩니다.",서울시 이택스 / 질서위반행위규제법 제16조
FAQ_049,단속기준,단속 CCTV는 몇 시부터 몇 시까지 운영되나요?,"주요 도로변 고정식 CCTV는 평일 07:00 ~ 22:00 운영을 기본으로 하며, 어린이보호구역 등은 24시간 작동될 수 있습니다.",종로구청 - 불법주정차 단속 CCTV 운영 시간 고시
FAQ_050,단속기준,같은 장소에서 동일한 날 2번 단속되면 과태료가 각각 부과되나요?,"동일 장소 지속 위반 시 2시간 이상 경과 시 1만 원이 가산 부과되며, 위치 이동 후 재위반 시 각각 과태료가 부과될 수 있습니다.",도로교통법 시행령 별표6
FAQ_051,금지구역,6대 절대 불법주정차 금지구역은 어디인가요?,① 소방시설 5m 이내 ② 교차로 모퉁이 5m 이내 ③ 버스정류소 10m 이내 ④ 건널목 ⑤ 어린이보호구역 ⑥ 보도(인도) 입니다.,행정안전부 - 주민신고제 운영지침
FAQ_052,금지구역,어린이보호구역(스쿨존) 주정차 단속 기준과 과태료는 얼마인가요?,"어린이보호구역은 평일 08:00~20:00 동안 전면 금지되며, 위반 시 일반 구역의 3배(승용차 12만 원)의 과태료가 부과됩니다.",도로교통법 시행령 별표6
FAQ_053,금지구역,인도(보도) 위에 차량 바퀴가 살짝 걸쳐진 경우도 단속되나요?,"네, 차량 바퀴 중 하나라도 보도 구역을 침범한 경우 보행자 통행 방해로 즉시 단속 대상이 됩니다.",종로구청 - 보도 불법주정차 단속 세부기준
FAQ_054,금지구역,소방시설(소화전 등) 주변 주정차 과태료는 얼마인가요?,"소화전 등 소방시설 5m 이내 주정차 위반 시 승용차 8만 원, 승합차 9만 원의 과태료가 부과됩니다.",도로교통법 시행령 별표6
FAQ_055,금지구역,버스정류장 주변은 몇 미터까지 주정차가 금지되나요?,버스정류소 표지판 또는 선을 기준으로 좌우 10m 이내는 절대 주정차 금지구역입니다.,도로교통법 제32조 제4호
FAQ_056,금지구역,교차로 모퉁이 주정차 금지 구역의 정확한 범위는 어디인가요?,교차로 모퉁이 모서리 지점으로부터 양방향 5m 이내는 절대 주정차 금지구역입니다.,도로교통법 제32조 제2호
FAQ_057,금지구역,안전신문고 주민신고건도 사전 알림 문자가 발송되나요?,"아니요, 시민이 직접 촬영하여 신고하는 안전신문고 건은 지자체 사전 단속 알림 서비스와 연동되지 않아 즉시 부과됩니다.",행안부 주민신고제 지침
FAQ_058,금지구역,건널목(횡단보도) 주정차 단속 기준은 어떻게 되나요?,횡단보도 위는 물론 횡단보도를 침범한 정지선 구역 전체가 24시간 유예시간 없이 즉시 단속 대상입니다.,도로교통법 제32조 제3호
FAQ_059,금지구역,거주자우선주차구역에 무단 주차 시 어떻게 조치되나요?,지정 배정자 외 무단 주차 시 단속 및 견인 조치될 수 있으며 부정주차 요금이 부과될 수 있습니다.,종로구 시설관리공단 약관
FAQ_060,금지구역,자전거 전용도로나 통학로 주정차 시 처벌 기준은 무엇인가요?,자전거 전용도로 및 통학로 주정차는 보행자 안전 위협 요소로 간주되어 우선 단속 및 즉시 견인 조치될 수 있습니다.,자전거 이용 활성화에 관한 법률
FAQ_061,서비스 이용,주정차 단속 사전 알림 서비스 신청 방법은 무엇인가요?,"주정차 단속 알림 앱 접속 또는 지자체 홈페이지에서 차량번호, 이름, 휴대폰 번호를 입력 후 인증하면 신청됩니다.",종로구 주차정보 안내시스템
FAQ_062,서비스 이용,알림 문자를 받은 즉시 이동하면 과태료가 면제되나요?,"네, 1차 CCTV 포착 후 문자를 받고 2차 촬영 유예시간(5~10분) 이내에 이동하면 단속 대상에서 제외됩니다.",종로구 사전알림 서비스 운영 규정
FAQ_063,서비스 이용,차량 1대에 여러 명의 휴대폰 번호를 등록할 수 있나요?,"아니요, 차량 1대당 단 1명의 운전자만 등록 가능합니다. 다른 사용자가 등록 시 기존 정보는 자동 변경됩니다.",종로구 시설관리공단 약관
FAQ_064,서비스 이용,한 명의 휴대폰 번호로 여러 대의 차량을 등록할 수 있나요?,"네, 동일한 명의(휴대폰 번호)로 복수의 차량을 등록하여 알림 서비스를 받으실 수 있습니다.",종로구 주차정보 안내시스템 FAQ
FAQ_065,서비스 이용,종로구 알림 서비스 가입 시 다른 구/지자체에서도 알림이 오나요?,"아니요, 단속 알림 서비스는 해당 지자체 관내 기준이므로 타 지역은 지자체별로 각각 가입하셔야 합니다.",서울시 주정차 단속 알림 서비스 안내문
FAQ_066,서비스 이용,주차 후 알림 문자가 오지 않고 과태료가 부과된 이유는 무엇인가요?,"6대 절대 금지구역, 현장 단속원 직접 단속, 주민신고(안전신문고) 등의 경우 문자 발송 없이 즉시 단속됩니다.",종로구청 면책사항 공고
FAQ_067,서비스 이용,번호판이 가려진 차량도 단속 알림 문자를 받을 수 있나요?,"아니요, CCTV가 차량번호를 인식하지 못할 경우 알림이 발송되지 않으며 자동차관리법 위반 처벌 대상이 될 수 있습니다.",종로구청 안내문
FAQ_068,서비스 이용,차량 매도 또는 차량번호 변경 시 알림 서비스 변경은 어떻게 하나요?,앱 내 [내 정보 관리] 또는 홈페이지를 통해 기존 차량 등록을 삭제하거나 변경된 번호로 정보 수정 등록을 하셔야 합니다.,종로구 주차정보 안내시스템 가이드
FAQ_069,서비스 이용,주정차 단속 사전 알림 서비스 이용에 비용이 드나요?,"아니요, 주정차 단속 사전 알림 서비스는 구민 및 운전자의 편의를 위한 무료 서비스입니다.",종로구청 서비스 안내문
FAQ_070,서비스 이용,알림 문자가 수신되지 않을 때 해결 방법은 무엇인가요?,"휴대폰 스팸 차단 설정, 통신사 부가서비스 차단 여부를 확인하시고 발신 대표번호 차단을 해제해 주시기 바랍니다.",종로구 사전 알림 서비스 장애 대응 가이드
FAQ_071,과태료 납부,주정차 위반 과태료 금액은 얼마인가요?,"승용차 기준 일반구역 4만 원, 소방시설 및 스쿨존은 12만 원입니다.",도로교통법 시행령 별표6
FAQ_072,과태료 납부,사전통지 기간 내 자진 납부 시 감경 혜택은 얼마인가요?,사전통지서에 기재된 의견진술/자진납부 기한 내 납부 시 과태료 금액의 20%가 감경됩니다.,질서위반행위규제법 제18조
FAQ_073,과태료 납부,주정차 과태료 조회 및 납부는 어디서 가능한가요?,"서울시 이택스(ETAX), 위택스(WeTax), 해당 구청 계좌 또는 전용 가상계좌를 통해 가능합니다.",서울시 ETAX 시스템
FAQ_074,과태료 납부,과태료를 체납할 경우 어떤 불이익이 발생하나요?,"납부 기한 경과 시 3% 가산금, 이후 매월 1.2% 중가산금이 추가되며 차량 압류가 진행될 수 있습니다.",질서위반행위규제법 제24조
FAQ_075,과태료 납부,주정차 과태료 50% 감경 대상자와 신청 방법은 무엇인가요?,"기초생활수급자, 장애인(1~3급), 국가유공자 등은 증빙서류 제출 시 50% 감경됩니다. (20% 자진납부 감경과 중복 불가)",질서위반행위규제법 시행령 제2조2
FAQ_076,과태료 납부,과태료 납부 확인서(영수증) 발급은 어디서 하나요?,서울시 이택스 [납부결과 조회] 메뉴에서 출력하시거나 관할 구청 교통행정과를 통해 발급받으실 수 있습니다.,서울시 ETAX 시스템
FAQ_077,과태료 납부,과태료를 신용카드로 납부하거나 분할 납부할 수 있나요?,"네, 위택스/이택스 홈페이지 또는 구청 방문을 통해 신용카드 결제 및 할부 납부가 가능합니다.",서울시 ETAX 안내
FAQ_078,과태료 납부,과태료를 이중 납부한 경우 환급 절차는 어떻게 되나요?,관할 구청 교통행정과에 환급 신청서와 통장 사본을 제출하시면 확인 후 계좌로 환급됩니다.,서울시 자동차세과 가이드라인
FAQ_079,과태료 납부,과태료 미납 시 차량 매도나 폐차가 불가능한가요?,"네, 과태료 체납으로 인한 차량 압류 완납 및 해제 전까지 소유권 이전 및 폐차가 제한됩니다.",자동차등록령 제27조
FAQ_080,과태료 납부,모바일 알림톡으로 수령한 과태료 통지서로 즉시 납부 가능한가요?,"네, 모바일 통지서 내 간편결제(카카오페이, 네이버페이 등) 또는 전용 가상계좌로 즉시 납부 가능합니다.",서울시 자동차세과 안내
FAQ_081,의견 진술,부득이한 사유로 주차한 경우 과태료 면제(의견진술) 신청이 가능한가요?,"응급환자 수송, 차량 고장/사고, 범죄 예방, 공무 수행 등 불가피한 사유 증명 시 부과 취소가 가능합니다.",도로교통법 시행규칙 제142조
FAQ_082,의견 진술,의견진술 신청 기한은 언제까지인가요?,주정차 위반 사전통지서에 기재된 의견진술 기한(통지서 수령 후 보통 20일 이내) 내에 신청하셔야 합니다.,질서위반행위규제법 제16조
FAQ_083,의견 진술,의견진술 접수 시 제출해야 하는 증빙서류는 무엇인가요?,"사유별 제출 서류(응급진료확인서, 정비업소 작업지시서, 공무수행증명서 등)와 의견진술서를 첨부하셔야 합니다.",종로구청 구비서류 목록표
FAQ_084,의견 진술,차량 고장으로 인한 정차 시 정비소 영수증만으로 면제되나요?,"단순 결제 영수증만으로는 불가하며, 고장 일시 및 장소가 명시된 견인 확인서 또는 정비지시서가 첨부되어야 합니다.",종로구청 심의위원회 심의기준
FAQ_085,의견 진술,의견진술 신청 접수는 어디서 하나요?,"구청 교통행정과 방문, 우편/팩스, 또는 웹사이트(서울시 ETAX/구청 홈페이지)를 통해 온라인 신청이 가능합니다.",서울시 ETAX / 종로구청 홈페이지
FAQ_086,의견 진술,의견진술 신청 결과는 언제 확인할 수 있나요?,접수 후 심의위원회의 심의(보통 2주~1개월 소요)를 거쳐 면제 또는 기각 여부가 우편 또는 문자로 안내됩니다.,종로구청 교통행정과
FAQ_087,의견 진술,의견진술이 기각되면 사전 자진납부 할인(20%) 혜택이 상실되나요?,"아니요, 기각 결정 통지서 발송 시 새로 지정된 기한 내에 납부하시면 20% 자진납부 감경 혜택을 받으실 수 있습니다.",질서위반행위규제법 제18조
FAQ_088,의견 진술,의견진술 기각 후 불복할 경우 다음 절차는 무엇인가요?,기각 통지를 받은 날부터 60일 이내에 관할 구청에 '이의신청'을 제출하시면 관할 법원에서 재판을 받게 됩니다.,질서위반행위규제법 제20조
FAQ_089,의견 진술,과태료를 이미 자진 납부한 후에도 의견진술 신청이 가능한가요?,"아니요, 자진 납부를 완료하면 사건이 종결된 것으로 처리되어 차후 의견진술이나 이의신청을 제출하실 수 없습니다.",질서위반행위규제법 제18조 제2항
FAQ_090,의견 진술,대리인이 대신하여 의견진술을 신청할 수 있나요?,"네, 대리인 신분증, 차주 신분증 사본 및 위임장을 첨부하시면 대리 접수가 가능합니다.",종로구청 민원 대리 신청 규정
